file,column,dtype,rows,missing_count,missing_pct,unique_count,min,max,mean,median,units,category,post_event_status,prediction_time_status,target_candidate_status,leakage_risk,notes
ifi_event_clean.csv,unnamed_0,int64,6876,0,0.0,6876,563,7438,4000.5,4000.5,not documented,identifier,UNKNOWN,not a predictive feature,NO,HIGH,"Identifier/provenance field; retain for grouping or audit only, never as a model feature."
ifi_event_clean.csv,uei,str,6876,0,0.0,6876,,,,,not documented,identifier,UNKNOWN,not a predictive feature,NO,HIGH,"Identifier/provenance field; retain for grouping or audit only, never as a model feature."
ifi_event_clean.csv,start_date,str,6876,20,0.2909,3685,1967-01-08T00:00:00,2023-12-09T00:00:00,,,not documented,temporal information,event reference,start is target-time; end is after event,NO,HIGH,Event chronology only; not a predictive feature.
ifi_event_clean.csv,end_date,str,6876,20,0.2909,3693,1967-07-28T00:00:00,2023-12-09T00:00:00,,,not documented,temporal information,event reference,start is target-time; end is after event,NO,HIGH,Event chronology only; not a predictive feature.
ifi_event_clean.csv,duration_days,float64,6876,19,0.2763,62,1.0,365.0,3.6130961061688787,1.0,days (source label),temporal information,post-event,after event,TARGET_ONLY_CANDIDATE,HIGH,Observed event duration; potentially usable in a future severity/impact target after definition review.
ifi_event_clean.csv,main_cause,str,6876,31,0.4508,580,,,,,not documented,event metadata,unknown,unknown; may be retrospective,NO,MEDIUM,Cause coding time and controlled vocabulary are undocumented; not a target candidate by itself.
ifi_event_clean.csv,location,float64,6876,6876,100.0,1,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame. Entirely missing in this file.
ifi_event_clean.csv,districts,str,6876,60,0.8726,2609,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame.
ifi_event_clean.csv,state,str,6876,0,0.0,78,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame.
ifi_event_clean.csv,latitude,float64,6876,6876,100.0,1,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame. Entirely missing in this file.
ifi_event_clean.csv,longitude,float64,6876,6876,100.0,1,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame. Entirely missing in this file.
ifi_event_clean.csv,severity,float64,6876,6876,100.0,1,,,,,source unit undocumented,other,during/after event,not available before event,TARGET_ONLY_CANDIDATE_BUT_CURRENTLY_UNUSABLE,HIGH,Direct source field is entirely missing in the cleaned inventory; possible target source only if later populated and defined. Entirely missing in this file.
ifi_event_clean.csv,area_affected,float64,6876,6876,100.0,1,,,,,source unit undocumented,flooded area,during/after event,not available before event,TARGET_ONLY_CANDIDATE_BUT_CURRENTLY_UNUSABLE,HIGH,Direct source field is entirely missing in the cleaned inventory; possible target source only if later populated and defined. Entirely missing in this file.
ifi_event_clean.csv,human_fatality,float64,6876,3106,45.1716,184,1.0,5000.0,18.751458885941645,3.0,persons/animals; source units require verification,human impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
ifi_event_clean.csv,human_injured,float64,6876,5818,84.6131,63,1.0,2000.0,10.998109640831759,3.0,persons/animals; source units require verification,human impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
ifi_event_clean.csv,human_displaced,str,6876,6754,98.2257,24,,,,,persons/animals; source units require verification,human impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
ifi_event_clean.csv,animal_fatality,str,6876,6305,91.6958,248,,,,,persons/animals; source units require verification,environmental impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
ifi_event_clean.csv,description_of_casualties_injured,str,6876,3609,52.4869,2488,,,,,not documented,human impact,after/during event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Free-text post-event evidence; requires a predeclared coding rubric before target construction.
ifi_event_clean.csv,extent_of_damage,str,6876,3121,45.3898,3613,,,,,not documented,infrastructure/property impact,after/during event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Free-text post-event evidence; requires a predeclared coding rubric before target construction.
ifi_event_clean.csv,event_source,str,6876,0,0.0,1,,,,,not documented,event metadata,UNKNOWN,"collection metadata, not a physical predictor",NO,MEDIUM,Source is constant in the current file and should not be used as a feature or target.
ifi_event_clean.csv,event_souce_id,float64,6876,6876,100.0,1,,,,,not documented,identifier,UNKNOWN,not a predictive feature,NO,HIGH,"Identifier/provenance field; retain for grouping or audit only, never as a model feature. Entirely missing in this file."
ifi_event_clean.csv,district_lgd_codes,str,6876,304,4.4212,2483,,,,,not documented,identifier,UNKNOWN,not a predictive feature,NO,HIGH,"Identifier/provenance field; retain for grouping or audit only, never as a model feature."
ifi_event_clean.csv,state_codes,str,6876,258,3.7522,66,,,,,not documented,identifier,UNKNOWN,not a predictive feature,NO,HIGH,"Identifier/provenance field; retain for grouping or audit only, never as a model feature."
district_flood_impact_clean.csv,dist_name,str,732,0,0.0,726,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame.
district_flood_impact_clean.csv,human_fatality,int64,732,0,0.0,234,0,1726,89.93032786885246,50.0,persons/animals; source units require verification,human impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
district_flood_impact_clean.csv,human_injured,int64,732,0,0.0,85,0,671,15.454918032786885,3.0,persons/animals; source units require verification,human impact,during/after event,not available before event,TARGET_ONLY_CANDIDATE,HIGH,Post-event consequence field; may contribute to Severity_Score but cannot be a predictive feature.
district_flood_impact_clean.csv,population,int64,732,0,0.0,732,7110,13403998,1922614.43852459,1519773.5,persons,human impact,baseline if vintage is verified,potentially before event; reference year unknown,POTENTIAL_FEATURE_AFTER_VERIFICATION,MEDIUM,Potential exposure covariate only after source vintage and district alignment are verified; not an impact target.
district_flood_impact_clean.csv,mean_flood_duration,float64,732,11,1.5027,36,1.0,35.0,10.816920943134535,7.0,days (source label),flooded area,likely post-event; reference period unknown,reference period unknown,TARGET_ONLY_CANDIDATE,HIGH,District aggregate outcome-like measure with undocumented reference period; do not merge into event features.
district_flooded_area_clean.csv,dist_name,str,732,0,0.0,726,,,,,not documented,location/geography,UNKNOWN,"potentially before event, but source timing/forecast-unit availability is unresolved",NO,MEDIUM,Geographic context or event-record location; do not treat observed event membership as a complete forecast frame.
district_flooded_area_clean.csv,percent_flooded_area,float64,732,0,0.0,730,0.001739235,32.6562,3.374125593980874,1.6978431415,percent of district area (source label; exact method requires verification),flooded area,during/after event or unknown reference period,reference period unknown; not safe before event,TARGET_ONLY_CANDIDATE,HIGH,"District aggregate flooded-area measurement; possible regression target and Severity_Score component, not a predictive feature."
district_flooded_area_clean.csv,parmanent_water,float64,732,0,0.0,673,0.0,29.67097127,0.6640254943852459,0.2389145345,source unit undocumented,environmental impact,baseline if vintage is verified,potentially before event; vintage unknown,POTENTIAL_FEATURE_AFTER_VERIFICATION,MEDIUM,Potential static water feature; spelling and provenance are source-defined and require verification.
district_flooded_area_clean.csv,corrected_percent_flooded_area,float64,732,0,0.0,730,7.34e-05,23.62192797,2.7134377777404373,1.2224718365,percent of district area (source label; exact method requires verification),flooded area,during/after event or unknown reference period,reference period unknown; not safe before event,TARGET_ONLY_CANDIDATE,HIGH,"District aggregate flooded-area measurement; possible regression target and Severity_Score component, not a predictive feature."
