uei,district,state,start_date,end_date,duration_days,raw_start_date,raw_end_date,raw_duration_days,classification,evidence,recommended_action,confidence,notes
UEI-IMD-FL-1969-0001,,Assam,1969-06-08,1969-07-13,36.0,08-06-1969 00:00,13-07-1969 00:00,36,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1969-06-08, end=1969-07-13; raw DD-first parse: start=1969-06-08, end=1969-07-13."
UEI-IMD-FL-1970-0010,,Kerala,1970-09-11,1970-09-20,10.0,11-09-1970 00:00,20-09-1970 00:00,10,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1970-09-11, end=1970-09-20; raw DD-first parse: start=1970-09-11, end=1970-09-20."
UEI-IMD-FL-1971-0002,Thrissur,Kerala,1971-05-08,1971-05-14,7.0,08-05-1971 00:00,14-05-1971 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1971-05-08, end=1971-05-14; raw DD-first parse: start=1971-05-08, end=1971-05-14."
UEI-IMD-FL-1972-0001,,Kerala,1972-05-08,1972-05-21,14.0,08-05-1972 00:00,21-05-1972 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1972-05-08, end=1972-05-21; raw DD-first parse: start=1972-05-08, end=1972-05-21."
UEI-IMD-FL-1972-0008,"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur, Pashchim Champaran, Purbi Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (Bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Marigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metro, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong, South 24 Parganas, Darjeeling, Jalpaiguri, Dakshin Dinajpur, Maldah, Murshidabad, Birbhum, Nadia, Purba Purba Bardhaman, Purulia, Bankura, North 24 Parganas","Odisha, Bihar, Assam, West Bengal",1972-07-08,1972-07-21,14.0,08-07-1972 00:00,21-07-1972 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1972-07-08, end=1972-07-21; raw DD-first parse: start=1972-07-08, end=1972-07-21."
UEI-IMD-FL-1973-0001,Kashmir valley,Jammu and Kashmir,1973-03-08,1973-03-14,7.0,08-03-1973 00:00,14-03-1973 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1973-03-08, end=1973-03-14; raw DD-first parse: start=1973-03-08, end=1973-03-14."
UEI-IMD-FL-1973-0005,"Darrang, Sonitpur, Udalguri",Assam,1973-06-08,1973-06-21,14.0,08-06-1973 00:00,21-06-1973 00:00,14,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1973-06-08, end=1973-06-21; raw DD-first parse: start=1973-06-08, end=1973-06-21."
UEI-IMD-FL-1975-0018,Mumbai,Maharashtra,1975-06-20,1975-09-06,79.0,20-06-1975 00:00,06-09-1975 00:00,79,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1975-06-20, end=1975-09-06; raw DD-first parse: start=1975-06-20, end=1975-09-06."
UEI-IMD-FL-1976-0001,"Cachar, Silchar, Karimganj, North Tripura","Assam, Manipur, Tripura, Arunachal Pradesh",1976-06-08,1976-06-14,7.0,08-06-1976 00:00,14-06-1976 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1976-06-08, end=1976-06-14; raw DD-first parse: start=1976-06-08, end=1976-06-14."
UEI-IMD-FL-1976-0018,"Vadodara, Valsad",Gujarat,1976-07-08,1976-07-14,7.0,08-07-1976 00:00,14-07-1976 00:00,7,CORRECTABLE_WITH_EVIDENCE,"The processed CSV stores ISO dates, but the diagnostic used day-first parsing. Re-parsing processed ISO values with ISO/year-first semantics resolves the contradiction, and the raw DD-MM-YYYY fields are chronologically ordered.",SAFE_TO_USE_AFTER_DOCUMENTED_CORRECTION,HIGH,"No dataset correction performed; this is a parsing-rule finding. Proper ISO parse: start=1976-07-08, end=1976-07-14; raw DD-first parse: start=1976-07-08, end=1976-07-14."
