dataset,column,leakage_category,classification,reason,prediction_time_availability,recommended_action
ifi_event_clean.csv,unnamed_0,IDENTIFIER LEAKAGE,CAUTION,A unique source row/index field can enable memorization or reflect source ordering.,"Available in source, but not a physical predictor",Exclude from features; retain only for provenance.
ifi_event_clean.csv,uei,IDENTIFIER LEAKAGE,CAUTION,UEI is unique for every inventory row and could allow memorization or partition contamination.,"Assigned to the recorded event, not a pre-event measurement",Use for grouping and identity checks only; exclude as a feature.
ifi_event_clean.csv,start_date,TEMPORAL / TARGET LEAKAGE,LEAKAGE,The event start date identifies the occurrence being predicted and is unavailable before the event starts.,Post-event or target-time field,"Use only as an outcome/reference timestamp, never as a predictive feature."
ifi_event_clean.csv,end_date,POST-EVENT INFORMATION,LEAKAGE,The end date is known only after the event has ended.,After event,Exclude from predictive features; retain for event chronology.
ifi_event_clean.csv,duration_days,POST-EVENT INFORMATION,LEAKAGE,Duration requires observing the event through its end and is an outcome-like consequence.,After event,Exclude from predictive features; possible target component only after definition.
ifi_event_clean.csv,main_cause,TEMPORAL / TARGET LEAKAGE,CAUTION,"Cause may be known before or during an event, but the dataset does not document when or how it was coded.","Unknown; potentially pre-event, potentially retrospective",Require source-timing verification before use.
ifi_event_clean.csv,location,UNKNOWN / REQUIRES VERIFICATION,UNKNOWN / REQUIRES VERIFICATION,The field is entirely missing and its meaning cannot be established from the cleaned data.,Unknown,Do not use until meaning and availability are verified.
ifi_event_clean.csv,districts,SPATIAL / SAMPLING LEAKAGE,CAUTION,"District membership is geographic context, but this field is populated from observed event records and contains multiple districts per row.",Geography may be known pre-event; event-record availability is not,Use only with a clearly defined forecast unit; do not treat as a simple scalar feature.
ifi_event_clean.csv,state,SPATIAL / SAMPLING LEAKAGE,CAUTION,"State is geographic context, but observed event rows and multi-state values can encode the labeled occurrence.",Geography may be known pre-event; forecast-unit availability is not,Use only with a clearly defined forecast unit and negative-sample design.
ifi_event_clean.csv,latitude,UNKNOWN / REQUIRES VERIFICATION,UNKNOWN / REQUIRES VERIFICATION,The coordinate field is entirely missing; no availability or event-timing assessment is possible.,Unknown; entirely missing,Do not use until populated and provenance is verified.
