ifi_district_name,ifi_state_name,census_boundary_district,census_boundary_state,censuscode,match_group,match_method,verification_status,historical_boundary_status,notes_reason
& Parts of Himachal Pradesh,Himachal Pradesh,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
& Parts of Uttar Pradesh,Uttar Pradesh,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
& various parts of Nagaland,Nagaland,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
11 districts,Odisha,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
14 districts,Odisha,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
14 districts of Assam,Assam,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
19 districts of Orissa,Odisha,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
21 districts of Assam,Assam,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
26 districts of Rajasthan,Rajasthan,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
29 districts affected,Uttar Pradesh,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
3 out of 8 districts,Manipur,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
6 districts,Arunachal Pradesh,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
Adilabad,Andhra Pradesh; Maharashtra; Telangana,Adilabad,Andhra Pradesh,532,exact_name_candidate,exact_name,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,Exact spelling match; state context and historical boundary equivalence are not established.
Agar-Malwa,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,,,,unmatched,none,UNMATCHED,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,No exact or transparent normalized Census boundary name match.
Agra,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,Agra,Uttar Pradesh,146,exact_name_candidate,exact_name,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_BOUNDARY_REVIEW_REQUIRED,Exact spelling match; state context and historical boundary equivalence are not established.
