ifi_district_name,ifi_state_context,lgd_state_code,lgd_state_name,lgd_district_code,lgd_district_name,census_2001_code,census_2011_code,census_boundary_district_name,census_boundary_state,censuscode,match_method,verification_status,historical_limitation,notes_reason
& Parts of Himachal Pradesh,Himachal Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
& Parts of Uttar Pradesh,Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
& various parts of Nagaland,Nagaland,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
11 districts,Odisha,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
14 districts,Odisha,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
14 districts of Assam,Assam,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
19 districts of Orissa,Odisha,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
21 districts of Assam,Assam,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
26 districts of Rajasthan,Rajasthan,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
29 districts affected,Uttar Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
3 out of 8 districts,Manipur,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
6 districts,Arunachal Pradesh,,,,,,,,,,none,UNMATCHED_TO_LGD,HISTORICAL_REVIEW_REQUIRED,No exact or normalized LGD district/state candidate.
Adilabad,Andhra Pradesh; Maharashtra; Telangana,36,Telangana,501,Adilabad,1,532,Adilabad,Andhra Pradesh,532,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent.
Agar-Malwa,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23,Madhya Pradesh,667,Agar-Malwa,0,0,,,,exact_district_name,CANDIDATE_REQUIRES_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
